amount0In,amount0Out,amount1In,amount1Out,amountUSD,id,pair,sender,timestamp,to
0,4484.986127,4491.861313,0,4487.945867877359340553827510752849,0x08c80c4bca7e8e0985b05bf047867a91cbc576c43f335872831c4fc4d9b2469e-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618626198,0x8c1c499b1796d7f3c2521ac37186b52de024e58c
2000,0,0,1989.98748,1995.253601630906686184190996438218,0x09d300f47095d25e3d59359759ff0491b63d79c124c1ef0bc34a81e37a4c01c1-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618618615,0x31ac548e59565fdd78604a47e1571ef68c80e9f5
5230,0,0,5202.693977,5216.07616035173475914429184509108,0x0a2c36f8b3ea1adc6c8ee2648190e9ce0896c5c6544a23c98437155139943b81-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618633411,0x1cd926f3e12f7b6c2833fbe7277ac53d529a794e
0,166.844177,167.759766,0,167.1819268197196825734633145259238,0x0a5acf83d37269d6f47dab65b349e87a304c1e2b0e1b01af6a50584ab7db8856-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618664884,0x0150ac2efbb090921d5a6fdf089f9e9d28597243
0,656.424976,656.97498,0,656.7377831934018358120782861052825,0x0a5fde9286ab73298208e37c080739b4bbae7d414da4869c90b2d7b5a7d007ff-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618688838,0xba93547e8892287d92b0f8901ac5ff6fb10a95cd
0,4019.374684,4039.466775,0,4029.428747337279584566205467272571,0x0a6478f465abf9e39fd5fa449373804e3ddb45a7ab8e7a0f1c6e0169792aa284-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618673624,0x5ec43c257416c7d7dc9216018e7b430a8dd2eddc
2248.624668,0,0,2239.357444,2243.685337215773873350867660714082,0x0ad340304b4668f10b31e9a48d1f9912ca975cb74f068952db75d1d39fbd3b12-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618623333,0xe94ca4ccd931d578f66dc06e24ffcdf79147f9e4
0,659.652061,660,0,659.736552116285548734125108472776,0x0b0f8dd16e4742b5becdd4a77a921913a221e9481630c23b1fc893c3859ecacc-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618690834,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
0,5229.176824,5237.402557,0,5234.231717841921351048500069986195,0x0b7d88c92903521c2a5ce4643c66436f045376cd6758eeb0d950eb85b9e15f5c-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618625517,0xb76bcf6b873cbd749854a90d477e6fe1fcbe86a6
87.411248,0,0,87.04965,87.2475005452863135964455743652331,0x0bd08149a16232863cd611edf05f718b371614d0e49f7b98c0d72827f9e45195-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618644205,0xae50ccb0c88e6038c803eb8a4421c64af9ed5177
5000,0,0,5003.386724,5002.028118361247285466408951720295,0x0be77fbdca9bd267ea3a9be070c4f2bd3b45fd9dc6ed005f2e6e043ffb363e70-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618650863,0xba3e737ef7ceafe7b586cc9da55fe36029006edf
19970,0,0,19938.84629,19945.99155686735952472589853410244,0x0c20ffe464e8bd7f996dadcebc8ada1be1eaa5e75ff229b49607185a0c67fd28-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618679333,0xfd5dc8fd5f17817b13b8998e13c6bcae44d1b3f1
0,2481.112198,2500,0,2491.807772706300259635946857010599,0x0cffba850ebe197d0336bd0ab4c1c194e574433a8dac52ede66ba1f13687519d-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618656557,0xb76bcf6b873cbd749854a90d477e6fe1fcbe86a6
